"SEN","08/08/2019","24","1835.9447","0","3.5147","3266.1809","22482.4247","380.2618","615.9379","4740.035","1237.574","6879.3302","2308.8232"
"SEN","09/08/2019","1","1842.6317","0","3.5248","3224.7698","22139.8775","358.6544","619.3947","3346.9392","1237.6142","6856.169","2273.4326"
"SEN","09/08/2019","2","1797.2397","0","3.5452","3303.5806","22071.1561","359.3696","621.532","1920.1008","1236.5075","6706.6402","2270.8854"
"SEN","09/08/2019","3","1780.8153","0","3.542","3348.4046","21905.0926","361.5121","620.4197","1003.0156","1236.1996","6661.702","2265.5974"
"SEN","09/08/2019","4","1700.987","0","3.5612","3270.6362","21662.619","362.1877","622.5301","1000.3557","1235.3395","6302.2982","2192.5766"
"SEN","09/08/2019","5","1476.52","0","3.5739","3290.7209","21780.5459","361.4781","620.2359","903.0243","1236.6658","6055.7972","2180.003"
"SEN","09/08/2019","6","1319.9344","0","3.5699","3435.2656","21640.9675","361.7122","620.4273","1128.2909","1239.6166","6070.461","2151.9903"
"SEN","09/08/2019","7","1331.6394","5.42","3.6897","3424.1867","21505.1963","362.3735","622.3756","1400.369","1241.3291","6479.6944","2156.352"
"SEN","09/08/2019","8","1341.3366","68.8955","3.6689","3421.8903","21976.113","359.8831","603.9689","1203.0937","1241.9777","6605.217","2194.8842"
"SEN","09/08/2019","9","1032.8519","746.6759","3.7066","3430.0859","22129.1998","362.0058","576.1156","2076.868","1242.2731","6514.3938","2203.378"
"SEN","09/08/2019","10","1011.0662","1655.3733","3.6633","3413.9444","21863.9828","361.1607","595.6903","2882.4039","1242.9477","6386.3774","2204.7122"
"SEN","09/08/2019","11","1071.6519","2305.2509","3.6695","3334.98","21926.4716","353.3929","606.0543","3192.243","1243.0435","6369.9172","2189.6703"
"SEN","09/08/2019","12","1056.1446","2641.926","3.649","3503.2561","22124.6388","353.1448","609.9003","3283.8473","1241.9617","6385.9271","2222.9619"
"SEN","09/08/2019","13","1059.6831","2800.9506","3.6412","3561.4613","22164.7798","357.0618","617.0597","3786.2185","1241.0184","6447.1037","2255.2478"
"SEN","09/08/2019","14","1128.8278","2740.785","3.1081","3423.2188","22268.2615","356.69","615.4144","4086.5381","1241.2152","6494.2375","2265.1893"
"SEN","09/08/2019","15","1214.323","2755.7449","2.4058","3408.3214","22366.4728","356.7859","616.4821","3994.7017","1241.8879","6552.36","2217.4711"
"SEN","09/08/2019","16","1299.4949","2649.79","2.4405","3411.5578","22456.7625","357.6647","606.4666","4412.4363","1241.3849","6606.3786","2250.4136"
"SEN","09/08/2019","17","1399.1192","2373.2476","2.3026","3405.7018","22479.6981","355.9218","584.8885","4878.2976","1238.8748","6657.6548","2234.1846"
"SEN","09/08/2019","18","1596.4205","2233.5927","2.4277","3388.0829","22416.4112","354.7276","582.2822","4242.2686","1233.9997","6591.0512","2225.4244"
"SEN","09/08/2019","19","1675.412","1769.4155","2.9452","3457.5209","22152.3173","356.0351","586.4395","3618.3005","1229.7043","6548.8072","2267.6141"
"SEN","09/08/2019","20","1672.2763","852.8598","2.8263","3471.1827","22199.8156","356.1957","587.9915","3000.547","1228.7624","6535.1444","2281.8707"
"SEN","09/08/2019","21","1742.2203","119.3177","3.6208","3479.0235","22220.4316","359.2276","589.6824","4512.5867","1229.661","6611.1437","2316.391"
"SEN","09/08/2019","22","1818.8532","1.6009","3.7485","3485.2037","22258.3226","361.1142","591.043","5017.6684","1228.6632","6579.086","2321.8421"
"SEN","09/08/2019","23","1934.4723","0","3.7058","3500.5294","22340.5692","361.4207","587.5725","4686.0915","1229.1588","6586.1952","2270.2966"
"SEN","09/08/2019","24","2080.1737","0","3.6576","3479.6518","22317.9544","361.5435","584.3262","3968.0141","1231.21","6681.0445","2082.7058"
"SEN","10/08/2019","1","2197.8666","0","3.6367","3458.3459","22140.4028","360.2072","582.4803","2743.4211","1234.5389","6530.7398","2103.8656"
"SEN","10/08/2019","2","2350.8479","0","3.6671","3449.5945","21740.409","359.29","585.3894","1703.6175","1237.9611","6115.7946","2152.0588"
"SEN","10/08/2019","3","2233.8616","0","3.6725","3463.5931","21646.9883","360.3252","585.4371","932.712","1240.705","5803.7644","2225.5225"
"SEN","10/08/2019","4","2104.9847","0","3.6888","3420.7248","21669.7254","359.3426","585.9449","806.9153","1242.9806","5104.9286","2223.1748"
"SEN","10/08/2019","5","1926.7834","0","3.6928","3101.7037","21802.4409","358.3505","587.0624","1209.3625","1244.4661","4779.1608","2204.4818"
"SEN","10/08/2019","6","1758.1969","0","3.7144","3089.2233","21616.7289","357.953","589.1252","1135.5127","1246.5555","4710.2395","2194.5383"
"SEN","10/08/2019","7","1668.3155","5.1716","3.7018","3357.6971","21678.4206","359.6871","593.9747","1053.668","1248.2845","4662.1328","2194.6957"
"SEN","10/08/2019","8","1651.3154","77.6035","3.6416","3431.5584","21599.8974","361.8457","588.1848","1068.6944","1249.9613","4693.9917","2184.6379"
