"SEN","10/01/2019","11","2298.5402","1509.0377","16.8208","3022.9323","19458.7871","381.8712","561.4048","1835.4662","1461.1915","2520.3154","1837.7481"
"SEN","10/01/2019","12","2374.8765","1572.8448","13.0893","3031.0443","19607.1137","384.3792","565.3308","1926.8478","1460.2132","2530.0788","1827.0221"
"SEN","10/01/2019","13","2366.2669","1617.9659","13.223","3044.7747","19573.0714","389.2963","565.6693","2046.5907","1459.6689","2527.2561","1798.7589"
"SEN","10/01/2019","14","2377.1205","1582.6491","16.366","2905.3","19488.8121","390.1919","567.3979","2193.541","1458.8024","2570.6037","1790.3813"
"SEN","10/01/2019","15","2409.889","1534.6301","12.0871","2762.6925","19656.9693","392.1804","566.791","2261.305","1458.5597","2539.1189","1782.2271"
"SEN","10/01/2019","16","2422.0678","1477.1789","4.6765","2767.0903","19737.7996","367.2241","567.7516","2139.9317","1458.2386","2509.7772","1779.5047"
"SEN","10/01/2019","17","2489.3687","1295.7162","2.5658","2765.1257","20059.2821","391.6496","568.9143","2368.7277","1458.2607","2540.6883","1780.7841"
"SEN","10/01/2019","18","2557.5465","508.354","3.094","2817.1178","19971.5244","407.451","570.1321","2787.9698","1458.9679","2585.2217","1820.8962"
"SEN","10/01/2019","19","2548.6884","7.2402","3.3198","2928.8665","19810.708","424.4422","570.5965","3832.2934","1459.1185","2803.0795","1838.6346"
"SEN","10/01/2019","20","2574.6761","0","3.3463","2975.1344","19961.421","425.2416","571.3768","4510.9949","1458.7697","3001.4183","1824.8988"
"SEN","10/01/2019","21","2488.7886","0","5.2553","3025.1524","20006.9207","420.8193","573.1133","4154.3823","1458.6108","2964.8153","1828.6571"
"SEN","10/01/2019","22","2408.8373","0","5.6689","3004.5678","19702.7816","418.0869","574.4822","3463.9633","1458.4363","2538.7009","1832.6271"
"SEN","10/01/2019","23","2334.6326","0","3.8563","2930.3773","19210.7829","395.1196","576.1545","2926.3757","1458.0498","2348.9993","1830.6301"
"SEN","10/01/2019","24","2449.1145","0","10.064","2947.7228","18657.3993","341.686","575.7061","1859.317","1458.0422","2248.0383","1822.9572"
"SEN","11/01/2019","1","2447.8253","0","25.8076","2613.3305","18177.2535","362.5144","576.1793","1021.7559","1458.3442","2090.509","1827.0486"
"SEN","11/01/2019","2","2390.2321","0","26.6434","2011.3826","17853.0321","346.6135","576.5826","950.0189","1459.1185","2001.7786","1819.024"
"SEN","11/01/2019","3","2465.4579","0","29.5463","1668.2652","17743.244","333.271","577.4714","947.0079","1458.7807","1988.7254","1664.8313"
"SEN","11/01/2019","4","2464.2035","0","26.8234","1556.5498","17436.9207","328.5724","578.6769","899.3518","1459.0895","2003.2562","1676.6287"
"SEN","11/01/2019","5","2432.3885","0","27.4506","1556.744","17567.6548","328.4862","579.3187","983.689","1459.2358","2005.7117","1679.7809"
"SEN","11/01/2019","6","2386.3075","0","27.0407","2027.4325","17672.4395","339.3666","580.0868","1099.9378","1459.1373","2039.593","1765.0615"
"SEN","11/01/2019","7","2576.0195","0.0021","20.8177","2454.8927","17859.7324","398.9151","578.609","1374.7539","1458.7802","2421.4087","1891.5527"
"SEN","11/01/2019","8","2562.9831","24.0996","22.481","2461.9656","18460.3808","408.3334","577.5478","1776.9822","1458.6794","2531.6838","2039.0953"
"SEN","11/01/2019","9","2544.3941","644.7017","25.7218","2461.3314","18363.0901","401.3927","574.5801","2037.1935","1458.7454","2591.5111","2022.3658"
"SEN","11/01/2019","10","2618.6678","1364.5569","22.7121","2690.8914","18309.3753","394.6051","568.9257","2120.8812","1458.5993","2622.662","2011.8862"
"SEN","11/01/2019","11","2822.2925","1633.1458","23.5928","2721.6846","18329.4009","400.0124","568.0655","2102.6015","1458.023","2683.7888","2006.144"
"SEN","11/01/2019","12","2865.2702","1554.4062","19.2227","2715.7827","18453.3158","403.3169","569.0151","2388.7837","1457.6636","2805.3748","1994.5283"
"SEN","11/01/2019","13","2848.7389","1396.5212","21.9465","2688.4931","18096.3078","409.8834","570.7412","3089.4993","1456.8159","2793.256","1959.419"
"SEN","11/01/2019","14","2861.5591","1308.8382","24.5284","2658.7314","17983.4458","395.1756","570.0083","2929.9695","1455.7678","2850.1707","1960.4892"
"SEN","11/01/2019","15","2755.6198","1128.771","25.5006","2692.8581","18106.2912","390.0195","570.9051","2886.1916","1453.3446","2916.0961","1956.5493"
"SEN","11/01/2019","16","2641.4805","885.3057","25.5763","2645.4453","18267.7114","391.8185","571.6593","3211.4872","1451.6381","2868.9832","1955.6265"
"SEN","11/01/2019","17","2452.1524","658.6401","25.2908","2630.4383","18349.9906","403.2891","573.1174","3355.2541","1449.8934","2950.3502","1960.6686"
