"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: abril 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/ago/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","09/04/2019","17","2306.5945","1927.7379","19.6399","2969.2595","19382.2977","377.9137","561.5557","5165.3099","776.3166","4805.7294","1728.9673"
"SEN","09/04/2019","18","2248.9652","1977.8436","23.2869","2999.1452","19470.0215","382.3532","565.0319","4784.0081","775.9694","4753.6262","1729.5106"
"SEN","09/04/2019","19","2371.7203","1646.7001","22.5817","2943.5983","19501.6412","388.3621","567.2036","4137.6644","775.9503","4769.2244","1701.0946"
"SEN","09/04/2019","20","2328.297","666.419","22.9139","2907.4012","19799.6493","388.0285","567.8542","4661.5779","776.7506","4783.7324","1790.7652"
"SEN","09/04/2019","21","2372.8038","59.3515","16.57","2778.9464","20199.9483","395.3113","567.4053","6340.7192","776.5549","4852.1301","1861.6733"
"SEN","09/04/2019","22","2518.8876","0.006","11.951","2773.3054","20357.4906","402.4023","567.1102","6389.3228","775.4516","4837.7589","1811.0331"
"SEN","09/04/2019","23","2454.9822","0","13.9925","2814.8162","20554.642","405.6009","560.9012","5444.9826","775.3799","4609.7936","1769.9942"
"SEN","09/04/2019","24","2306.7976","0","19.1561","2823.405","20099.8665","402.6281","560.6685","4284.2299","774.5083","4582.1441","1708.6985"
"SEN","10/04/2019","1","2284.374","0","17.9455","2804.9485","19759.7453","404.0706","535.5412","2591.2536","774.843","4577.5276","1442.3694"
"SEN","10/04/2019","2","2063.9111","0","20.8416","2805.8021","20032.671","401.9733","506.454","1428.3492","774.7432","4509.312","1444.3634"
"SEN","10/04/2019","3","1959.0868","0","20.6737","2892.0374","19657.5874","402.1675","507.9336","1135.2486","775.6181","4141.1852","1426.9171"
"SEN","10/04/2019","4","1982.5288","0","20.4751","2963.2129","19571.1774","396.3984","510.1964","1091.1912","776.0017","3700.1348","1403.1944"
"SEN","10/04/2019","5","1885.9141","0","19.9269","2810.6466","19611.1911","389.9639","499.8193","1058.0854","776.8335","3642.4537","1430.911"
