"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: septiembre 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/ene/2020 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","06/09/2019","19","2224.7291","1038.7601","3.3852","3635.3945","22081.6555","395.6124","557.5822","2846.641","1515.9334","5617.5562","2462.0406"
"SEN","06/09/2019","20","1810.3759","339.4206","3.3852","3640.5127","22256.5768","396.5152","558.1389","2763.4739","1517.1792","5651.278","2469.402"
"SEN","06/09/2019","21","1667.5887","22.1423","3.3843","3640.2671","22497.3309","395.3104","557.1568","4793.016","1518.1113","5657.5309","2465.9725"
"SEN","06/09/2019","22","2091.4597","0","3.3842","3614.1932","22314.4267","400.436","558.521","4196.9422","1518.8683","5556.4593","2452.3306"
"SEN","06/09/2019","23","2291.6145","0","3.3849","3641.6203","22501.2645","399.9896","562.7266","3115.5072","1519.5007","5586.1342","2407.4573"
"SEN","06/09/2019","24","2532.675","0","3.3856","3643.984","22351.6654","400.3189","561.6161","2290.0425","1520.3805","5655.1248","2411.7133"
"SEN","07/09/2019","1","2754.4881","0","3.8019","3599.8351","22421.9002","397.9753","563.2784","1102.3114","1521.0741","4907.1252","2330.1819"
"SEN","07/09/2019","2","2643.826","0","4.1115","3282.5777","22281.3287","398.0113","564.5649","965.3769","1521.8007","4153.5665","2215.0268"
"SEN","07/09/2019","3","2697.6474","0","4.112","2814.5159","21840.0417","397.2195","563.7695","815.202","1522.4033","4059.5858","2191.3179"
"SEN","07/09/2019","4","2735.9532","0","4.1124","2712.3782","21449.7513","397.4967","563.3697","826.9971","1523.1942","4080.4419","2114.2486"
"SEN","07/09/2019","5","2434.0544","0","4.1132","2674.1649","21126.2713","396.2817","562.7089","789.6046","1522.937","4125.3355","2039.9965"
"SEN","07/09/2019","6","1894.19","0","4.1148","2729.279","21344.9531","396.3265","558.4445","603.9421","1523.1352","4169.7624","2063.6982"
"SEN","07/09/2019","7","2050.6181","1.7075","4.1153","2821.8903","21340.1817","396.2243","557.464","702.2478","1523.2825","4119.5926","1912.6969"
